station,datetime,snow.water.eq.inches
19L01,1964-03-31,5.9
19L01,1964-12-30,1.8
19L01,1965-02-01,12.5
19L01,1965-02-26,11.8
19L01,1965-03-30,8.5
19L01,1965-12-29,5.1
19L01,1966-01-26,10.6
19L01,1966-02-28,11.7
19L01,1966-03-29,5
19L01,1966-12-29,6.6
19L01,1967-01-25,9.4
19L01,1967-02-28,9.8
19L01,1967-03-28,13.7
19L01,1967-12-28,3.8
19L01,1968-01-29,6.2
19L01,1968-02-27,8.6
19L01,1968-03-29,5.9
19L01,1968-12-28,5
19L01,1969-01-29,14.2
19L01,1969-03-27,23
19L01,1969-12-30,6.9
19L01,1970-01-29,4.5
19L01,1970-02-25,5.9
19L01,1970-03-26,3.6
19L01,1970-12-31,1.8
19L01,1971-01-28,15.2
19L01,1971-02-26,14.2
19L01,1971-04-01,12.9
19L01,1971-12-30,11.7
19L01,1972-01-27,10
19L01,1972-02-28,12.4
19L01,1972-03-30,3.5
19L01,1972-04-26,0.1
19L01,1972-12-29,9.8
19L01,1973-01-31,7.1
19L01,1973-02-28,11.8
19L01,1973-03-29,12.6
19L01,1973-04-25,2.2
19L01,1973-12-29,3.3
19L01,1974-01-28,7.2
19L01,1974-02-26,7.2
19L01,1974-03-31,3.1
19L01,1974-04-29,0
19L01,1974-12-28,7.2
19L01,1975-01-02,1.9
19L01,1975-01-27,3.1
19L01,1975-02-23,10
19L01,1975-03-30,16.6
19L01,1975-04-29,12.2
19L01,1976-01-23,2
19L01,1976-03-25,2.6
19L01,1976-04-27,0
19L01,1976-12-31,0.9
19L01,1977-01-26,1.6
19L01,1977-02-26,2.4
19L01,1977-03-29,0.2
19L01,1977-04-26,0
19L01,1977-12-27,0
19L01,1978-01-27,9.5
19L01,1978-02-24,12.5
19L01,1978-03-28,8.7
19L01,1978-04-26,0
19L01,1978-12-31,3.7
19L01,1979-01-30,7.3
19L01,1979-02-26,10.9
19L01,1979-03-26,11.8
19L01,1979-04-25,0
19L01,1979-12-29,5.1
19L01,1980-01-31,3.9
19L01,1980-03-27,8.8
19L01,1980-04-24,0.1
19L01,1980-12-27,3.2
19L01,1981-02-02,4
19L01,1981-02-26,3.2
19L01,1981-03-30,1.9
19L01,1981-04-29,0
19L01,1981-12-29,0
19L01,1982-01-03,3.5
19L01,1982-01-27,10
19L01,1982-02-23,7.6
19L01,1982-04-07,13.3
19L01,1982-04-29,0.1
19L01,1983-01-25,9
19L01,1983-02-22,15.8
19L01,1983-03-31,19.4
19L01,1983-04-26,15.2
19L01,1984-01-26,5.3
19L01,1984-02-27,7.4
19L01,1984-03-27,3.2
19L01,1985-02-04,4.4
19L01,1985-02-25,6.5
19L01,1985-04-01,10.8
19L01,1986-01-28,5.8
19L01,1986-01-28,4.9
19L01,1986-02-27,9.6
19L01,1986-03-26,5.4
19L01,1987-01-01,0
19L01,1987-01-30,2.8
19L01,1987-02-27,5.1
19L01,1988-01-01,1.3
19L01,1988-01-26,3.7
19L01,1988-02-24,3.2
19L01,1988-03-30,0
19L01,1988-09-01,0
19L01,1989-01-30,6.7
19L01,1989-02-27,5.4
19L01,1989-03-27,0
19L01,1989-09-01,0
19L01,1990-02-01,3.2
19L01,1990-03-27,1.4
19L01,1991-01-30,2.2
19L01,1991-02-26,0
19L01,1991-03-28,7.1
19L01,1992-01-28,2.4
19L01,1992-02-25,4.5
19L01,1992-03-27,0
19L01,1993-01-27,14
19L01,1993-03-01,17.9
19L01,1993-04-01,10.5
19L01,1994-01-26,2
19L01,1994-02-28,7.4
19L01,1994-03-30,0
19L01,1995-01-25,9
19L01,1995-03-02,7
19L01,1995-03-28,10.3
19L01,1996-02-02,7
19L01,1996-02-28,9.6
19L01,1996-03-26,10
19L01,1997-02-04,9.1
19L01,1997-02-25,8.7
19L01,1997-03-25,2.2
19L01,1998-01-28,5.6
19L01,1998-02-26,13
19L01,1998-03-27,9.1
19L01,1999-01-27,4
19L01,1999-03-01,12.8
19L01,1999-03-31,9.4
19L01,2000-01-27,1.8
19L01,2000-02-23,2.8
19L01,2000-03-28,1.2
19L01,2001-01-29,2.6
19L01,2001-02-27,5.4
19L01,2001-03-30,0
19L01,2002-01-30,7.2
19L01,2002-02-28,6.4
19L01,2002-03-27,7.4
19L01,2003-01-29,7.8
19L01,2003-02-27,7.3
19L01,2003-03-26,0.7
19L01,2004-01-27,5.1
19L01,2004-02-25,7
19L01,2004-03-29,2.4
19L01,2005-01-24,11.2
19L01,2005-02-24,14.3
19L01,2005-03-29,13.9
19L01,2006-01-30,4
19L01,2006-03-01,3.9
19L01,2006-03-31,7.2
19L01,2007-01-29,1.4
19L01,2007-02-28,4.4
19L01,2007-03-30,0.9
19L01,2008-01-30,9.6
19L01,2008-02-29,13.2
19L01,2008-03-28,8.7
19L01,2009-01-30,4.7
19L01,2009-02-25,6.7
19L01,2009-03-30,4.8
19L01,2010-02-01,5.9
19L01,2010-03-01,7.5
19L01,2010-04-01,5.4
19L01,2011-01-31,6.5
19L01,2011-03-01,12.1
19L01,2011-03-30,15.6
19L01,2012-01-30,7.5
19L01,2012-03-01,2
19L01,2012-03-30,0.8
19L01,2013-02-26,6.1
19L01,2013-03-28,0
19L01,2014-01-30,3
19L01,2014-03-03,0.8
19L01,2014-03-25,0
19L02,1930-03-29,5.1
19L02,1931-03-28,3.5
19L02,1932-03-31,18.5
19L02,1933-03-30,15
19L02,1934-03-30,0
19L02,1935-03-29,15.4
19L02,1936-03-27,19.3
19L02,1937-02-28,17.4
19L02,1937-04-01,13.9
19L02,1938-02-28,17
19L02,1938-03-31,28.8
19L02,1938-05-01,17.9
19L02,1939-03-31,7
19L02,1940-03-03,15.8
19L02,1940-03-31,9.3
19L02,1941-02-01,10.1
19L02,1941-03-01,11.5
19L02,1941-03-30,7.3
19L02,1942-02-01,12.1
19L02,1942-02-28,18
19L02,1942-03-31,15.9
19L02,1943-02-03,10.4
19L02,1943-03-01,10.3
19L02,1943-03-30,10.8
19L02,1944-04-03,8.1
19L02,1945-04-01,12.9
19L02,1947-03-31,6.9
19L02,1948-02-29,2.2
19L02,1948-03-30,7.3
19L02,1949-04-03,18.5
19L02,1952-01-28,26
19L02,1953-03-31,12.8
19L02,1954-02-02,7
19L02,1954-02-26,10.6
19L02,1954-04-03,10.6
19L02,1955-01-27,10.4
19L02,1955-03-02,11.7
19L02,1955-03-30,8.6
19L02,1956-02-28,18
19L02,1956-04-03,10.8
19L02,1957-01-30,7.2
19L02,1957-02-27,10.2
19L02,1957-04-01,10.3
19L02,1958-02-25,13.5
19L02,1958-03-28,19.6
19L02,1958-04-30,12.5
19L02,1959-02-26,9.4
19L02,1959-03-31,2.6
19L02,1960-01-28,4.5
19L02,1960-03-03,9.5
19L02,1960-03-31,1.9
19L02,1961-02-01,5.7
19L02,1961-02-28,5.9
19L02,1961-03-29,6.1
19L02,1962-01-31,5.7
19L02,1962-02-27,17.3
19L02,1962-03-27,23.7
19L02,1962-12-28,3.2
19L02,1963-01-03,0
19L02,1963-01-30,1
19L02,1963-02-27,0
19L02,1963-03-28,3
19L02,1963-05-01,3.7
19L02,1964-01-29,8.9
19L02,1964-02-26,9.7
19L02,1964-03-31,9.1
19L02,1964-12-30,3.4
19L02,1965-02-01,17.1
19L02,1965-02-26,15.8
19L02,1965-03-30,11.6
19L02,1965-12-29,9.3
19L02,1966-01-26,11.4
19L02,1966-02-28,13.1
19L02,1966-03-29,7
19L02,1966-12-29,7.3
19L02,1967-01-25,12
19L02,1967-02-28,13.2
19L02,1967-03-28,16.3
19L02,1967-04-27,22.1
19L02,1967-12-28,5.5
19L02,1968-01-29,7.3
19L02,1968-02-27,8.9
19L02,1968-03-29,7.9
19L02,1968-04-26,0
19L02,1968-12-28,5.5
19L02,1969-01-29,19.9
19L02,1969-03-27,32.2
19L02,1969-04-29,15.6
19L02,1969-12-30,8.8
19L02,1970-01-29,8
19L02,1970-02-25,8.8
19L02,1970-03-26,4.3
19L02,1970-04-29,1.4
19L02,1970-12-31,3.8
19L02,1971-01-28,15.9
19L02,1971-02-26,14.9
19L02,1971-04-01,15.1
19L02,1971-04-28,3.2
19L02,1971-12-30,12.8
19L02,1972-01-27,11.6
19L02,1972-02-29,14.4
19L02,1972-03-30,3.5
19L02,1972-04-26,0
19L02,1972-12-29,11.9
19L02,1973-01-31,10.2
19L02,1973-03-01,14.4
19L02,1973-03-29,16
19L02,1973-04-27,6.5
19L02,1973-12-29,4.6
19L02,1974-01-28,9.8
19L02,1974-02-26,10.3
19L02,1974-03-31,13.3
19L02,1974-04-29,0
19L02,1974-12-28,8.7
19L02,1975-01-02,1.9
19L02,1975-01-27,5.6
19L02,1975-02-23,13.4
19L02,1975-03-30,22.2
19L02,1975-04-29,22.6
19L02,1976-01-23,2.1
19L02,1976-03-25,3.2
19L02,1976-04-27,0
19L02,1976-12-31,1.1
19L02,1977-01-26,2
19L02,1977-02-26,2.9
19L02,1977-03-29,3.3
19L02,1977-04-26,0
19L02,1977-12-28,0
19L02,1978-01-27,11.9
19L02,1978-02-24,15.8
19L02,1978-03-28,12.6
19L02,1978-04-26,6.4
19L02,1978-12-31,5.4
19L02,1979-01-30,7.7
19L02,1979-02-26,13.2
19L02,1979-03-26,13.6
19L02,1979-04-25,2.9
19L02,1979-12-29,5.2
19L02,1980-01-31,8.5
19L02,1980-03-01,13.8
19L02,1980-03-27,16.3
19L02,1980-04-24,0.1
19L02,1981-02-02,4.6
19L02,1981-02-27,3.7
19L02,1981-03-30,3.7
19L02,1981-04-29,0
19L02,1981-12-29,0.1
19L02,1982-01-27,11.7
19L02,1982-02-25,8.8
19L02,1982-04-07,14.7
19L02,1982-04-29,3
19L02,1983-01-25,13.3
19L02,1983-02-22,20.8
19L02,1983-03-31,26.8
19L02,1983-04-26,28.3
19L02,1984-01-26,9.4
19L02,1984-02-27,8.8
19L02,1984-03-27,8.9
19L02,1985-02-05,6.6
19L02,1985-02-25,8.3
19L02,1985-04-01,8.3
19L02,1986-01-28,7.2
19L02,1986-02-27,16
19L02,1986-03-26,11.4
19L02,1987-01-30,3.9
19L02,1987-02-27,6.3
19L02,1987-03-30,2.7
19L02,1988-01-27,5.7
19L02,1988-02-23,4.1
19L02,1988-03-30,0
19L02,1989-01-30,6.7
19L02,1989-02-27,9.5
19L02,1989-03-27,7.4
19L02,1990-02-01,5.2
19L02,1990-03-27,3.8
19L02,1991-01-30,2.2
19L02,1991-02-26,1.4
19L02,1991-03-29,7.9
19L02,1992-01-27,4.9
19L02,1992-02-25,7.9
19L02,1992-04-02,1
19L02,1993-01-27,17.9
19L02,1993-03-01,25.4
19L02,1993-04-01,19.9
19L02,1994-01-25,3.9
19L02,1994-02-28,11.5
19L02,1994-04-04,3
19L02,1995-01-25,14
19L02,1995-03-02,10.9
19L02,1995-03-28,16.9
19L02,1996-02-01,9.8
19L02,1996-02-28,12.4
19L02,1996-03-26,15.8
19L02,1997-02-04,11.7
19L02,1997-02-25,11.1
19L02,1997-03-25,4.8
19L02,1998-01-28,7.7
19L02,1998-02-26,17.3
19L02,1998-03-27,14.7
19L02,1999-01-27,6
19L02,1999-03-01,21.2
19L02,1999-03-31,15.4
19L02,2000-01-27,4.6
19L02,2000-02-23,7
19L02,2000-03-28,5.3
19L02,2001-01-29,4.2
19L02,2001-02-27,7.6
19L02,2001-03-29,2.9
19L02,2002-01-30,10.7
19L02,2002-02-28,10.4
19L02,2002-03-27,11.8
19L02,2003-01-29,9.6
19L02,2003-02-27,10.2
19L02,2003-03-28,4.3
19L02,2004-01-27,9
19L02,2004-02-25,10
19L02,2004-03-29,6.6
19L02,2005-01-24,13.8
19L02,2005-02-24,16.3
19L02,2005-03-29,18.6
19L02,2006-01-31,7.4
19L02,2006-03-01,6
19L02,2006-03-31,10.9
19L02,2007-01-30,4
19L02,2007-02-28,8.9
19L02,2007-03-30,1.2
19L02,2008-01-30,12
19L02,2008-02-27,16.3
19L02,2008-03-28,10.6
19L02,2009-01-30,5.9
19L02,2009-02-25,8
19L02,2009-03-30,7.7
19L02,2010-02-01,9.6
19L02,2010-02-25,11.1
19L02,2010-04-03,13.4
19L02,2011-02-01,11.6
19L02,2011-02-28,17.3
19L02,2011-03-29,23.8
19L02,2012-01-30,2.5
19L02,2012-03-01,3.4
19L02,2012-03-30,4.4
19L02,2013-02-26,6.5
19L02,2013-03-28,1.1
19L02,2014-01-31,1.5
19L02,2014-03-03,2.6
19L02,2014-03-25,0
19L03S,1979-01-01,3.5
19L03S,1979-02-01,5.4
19L03S,1979-03-01,10.8
19L03S,1979-04-01,13.1
19L03S,1979-05-01,3.8
19L03S,1979-06-01,0
19L03S,1980-02-01,8.1
19L03S,1980-03-01,16.8
19L03S,1980-04-01,20.8
19L03S,1980-05-01,11.4
19L03S,1980-06-01,0.1
19L03S,1981-01-01,1.5
19L03S,1981-02-01,4.8
19L03S,1981-03-01,4.6
19L03S,1981-04-01,7.9
19L03S,1981-05-01,0
19L03S,1981-06-01,0
19L03S,1982-01-01,7
19L03S,1982-02-01,16.9
19L03S,1982-03-01,15.2
19L03S,1982-04-01,23
19L03S,1982-05-01,16.3
19L03S,1982-06-01,0
19L03S,1983-01-01,11.3
19L03S,1983-02-01,18.3
19L03S,1983-03-01,29.5
19L03S,1983-04-01,37.3
19L03S,1983-05-01,39.9
19L03S,1983-06-01,18.1
19L03S,1984-01-01,15
19L03S,1984-02-01,13.8
19L03S,1984-03-01,16.3
19L03S,1984-04-01,16.3
19L03S,1984-05-01,12
19L03S,1984-06-01,0
19L03S,1985-01-01,8.1
19L03S,1985-02-01,8.5
19L03S,1985-03-01,10.7
19L03S,1985-04-01,13.7
19L03S,1985-05-01,0
19L03S,1985-06-01,0
19L03S,1986-01-01,7.5
19L03S,1986-02-01,11.7
19L03S,1986-03-01,22.8
19L03S,1986-04-01,21.8
19L03S,1986-05-01,2
19L03S,1986-06-01,0
19L03S,1987-01-01,0.5
19L03S,1987-02-01,4.3
19L03S,1987-03-01,7.6
19L03S,1987-04-01,8.2
19L03S,1987-05-01,0
19L03S,1987-06-01,0
19L03S,1988-01-01,3.6
19L03S,1988-02-01,6.7
19L03S,1988-03-01,6.9
19L03S,1988-04-01,0
19L03S,1988-05-01,0
19L03S,1988-06-01,0
19L03S,1989-01-01,9.7
19L03S,1989-02-01,11.4
19L03S,1989-03-01,12.2
19L03S,1989-04-01,15.3
19L03S,1989-05-01,0
19L03S,1989-06-01,0
19L03S,1990-01-01,2.5
19L03S,1990-02-01,3.8
19L03S,1990-03-01,7.9
19L03S,1990-04-01,3.1
19L03S,1990-05-01,0
19L03S,1990-06-01,0
19L03S,1991-01-01,2
19L03S,1991-02-01,2
19L03S,1991-03-01,0.1
19L03S,1991-04-01,10.9
19L03S,1991-05-01,4.3
19L03S,1991-06-01,0
19L03S,1992-01-01,3.3
19L03S,1992-02-01,4.1
19L03S,1992-03-01,5.2
19L03S,1992-04-01,5.1
19L03S,1992-05-01,0
19L03S,1992-06-01,0
19L03S,1993-01-01,12.7
19L03S,1993-02-01,22.7
19L03S,1993-03-01,29.3
19L03S,1993-04-01,26.9
19L03S,1993-05-01,14.6
19L03S,1993-06-01,0
19L03S,1994-01-01,3.4
19L03S,1994-02-01,4.2
19L03S,1994-03-01,10.7
19L03S,1994-04-01,3.6
19L03S,1994-05-01,0
19L03S,1994-06-01,0
19L03S,1995-01-01,8
19L03S,1995-02-01,19.4
19L03S,1995-03-01,18.9
19L03S,1995-04-01,31.2
19L03S,1995-05-01,28.4
19L03S,1995-06-01,10.8
19L03S,1996-01-01,3.8
19L03S,1996-02-01,13.4
19L03S,1996-03-01,18.2
19L03S,1996-04-01,20.6
19L03S,1996-05-01,10.2
19L03S,1996-06-01,0
19L03S,1997-01-01,13.9
19L03S,1997-02-01,20.9
19L03S,1997-03-01,22.2
19L03S,1997-04-01,13.6
19L03S,1997-05-01,0
19L03S,1997-06-01,0
19L03S,1998-01-01,3.3
19L03S,1998-02-01,10.6
19L03S,1998-03-01,22.5
19L03S,1998-04-01,24.1
19L03S,1998-05-01,18.4
19L03S,1998-06-01,6.2
19L03S,1999-01-01,6.1
19L03S,1999-02-01,12.9
19L03S,1999-03-01,25.7
19L03S,1999-04-01,24.1
19L03S,1999-05-01,22.9
19L03S,1999-06-01,0
19L03S,2000-01-01,0
19L03S,2000-02-01,7.7
19L03S,2000-03-01,14.6
19L03S,2000-04-01,10.6
19L03S,2000-05-01,0
19L03S,2000-06-01,0
19L03S,2001-01-01,2.2
19L03S,2001-02-01,4.6
19L03S,2001-03-01,7.9
19L03S,2001-04-01,3.9
19L03S,2001-05-01,0
19L03S,2001-06-01,0
19L03S,2002-01-01,11.1
19L03S,2002-02-01,12.4
19L03S,2002-03-01,12.2
19L03S,2002-04-01,13.7
19L03S,2002-05-01,0.6
19L03S,2002-06-01,0
19L03S,2003-01-01,11.1
19L03S,2003-02-01,11.5
19L03S,2003-03-01,16.3
19L03S,2003-04-01,8.5
19L03S,2003-05-01,10.9
19L03S,2003-06-01,0
19L03S,2004-01-01,8.9
19L03S,2004-02-01,11.2
19L03S,2004-03-01,17.1
19L03S,2004-04-01,7.9
19L03S,2004-05-01,0
19L03S,2004-06-01,0
19L03S,2005-01-01,9.1
19L03S,2005-02-01,15.7
19L03S,2005-03-01,18.5
19L03S,2005-04-01,21.7
19L03S,2005-05-01,13.8
19L03S,2005-06-01,0
19L03S,2006-01-01,8.8
19L03S,2006-02-01,17
19L03S,2006-03-01,18.5
19L03S,2006-04-01,27.7
19L03S,2006-05-01,21.9
19L03S,2006-06-01,0
19L03S,2007-01-01,3
19L03S,2007-02-01,4.7
19L03S,2007-03-01,9.9
19L03S,2007-04-01,2.6
19L03S,2007-05-01,0
19L03S,2007-06-01,0
19L03S,2008-01-01,2.9
19L03S,2008-02-01,13.9
19L03S,2008-03-01,18.7
19L03S,2008-04-01,13.3
19L03S,2008-05-01,0
19L03S,2008-06-01,0
19L03S,2009-01-01,4.7
19L03S,2009-02-01,6.5
19L03S,2009-03-01,10.4
19L03S,2009-04-01,11
19L03S,2009-05-01,0
19L03S,2009-06-01,0
19L03S,2010-01-01,4.5
19L03S,2010-02-01,10.2
19L03S,2010-03-01,14.7
19L03S,2010-04-01,15.3
19L03S,2010-05-01,14
19L03S,2010-06-01,0
19L03S,2011-01-01,14.8
19L03S,2011-02-01,15.6
19L03S,2011-03-01,21.9
19L03S,2011-04-01,33.9
19L03S,2011-05-01,22.9
19L03S,2011-06-01,1.4
19L03S,2012-01-01,0
19L03S,2012-02-01,3.1
19L03S,2012-03-01,4.5
19L03S,2012-04-01,7.3
19L03S,2012-05-01,0
19L03S,2012-06-01,0
19L03S,2013-01-01,8.5
19L03S,2013-02-01,10.1
19L03S,2013-03-01,9.4
19L03S,2013-04-01,1.6
19L03S,2013-05-01,0
19L03S,2013-06-01,0
19L03S,2014-01-01,1.6
19L03S,2014-02-01,2
19L03S,2014-03-01,6.6
19L03S,2014-04-01,2.6
19L03S,2014-05-01,0
19L03S,2014-06-01,0
19L04,1930-01-03,9.6
19L04,1930-01-30,20.1
19L04,1930-03-09,30.3
19L04,1930-04-03,30.7
19L04,1930-04-29,24.2
19L04,1930-06-01,10.6
19L04,1931-01-08,8
19L04,1931-01-27,9.7
19L04,1931-02-26,13.7
19L04,1931-03-27,17.2
19L04,1931-04-29,9.3
19L04,1932-02-10,52.6
19L04,1932-02-25,52.2
19L04,1932-03-30,49.7
19L04,1932-04-28,51
19L04,1932-05-27,33.1
19L04,1933-02-01,17.9
19L04,1933-02-21,20.8
19L04,1933-03-21,23.9
19L04,1933-04-26,22.4
19L04,1934-01-26,13.4
19L04,1934-02-24,16.2
19L04,1934-03-26,15.7
19L04,1934-04-30,0
19L04,1935-01-24,19.2
19L04,1935-02-23,21.2
19L04,1935-03-26,28.7
19L04,1935-04-26,38
19L04,1936-01-24,20.7
19L04,1936-02-27,43
19L04,1936-03-23,41.4
19L04,1936-04-25,36.1
19L04,1937-01-26,12.8
19L04,1937-02-22,30.5
19L04,1937-03-31,37.6
19L04,1937-04-28,36.6
19L04,1938-01-24,8.7
19L04,1938-02-22,31.9
19L04,1938-03-29,47.2
19L04,1938-04-29,46.4
19L04,1939-01-27,8.4
19L04,1939-03-01,18.1
19L04,1939-03-29,20.4
19L04,1939-04-29,4.7
19L04,1940-01-27,18.6
19L04,1940-03-01,34.6
19L04,1940-03-28,36.5
19L04,1940-04-26,33.9
19L04,1941-01-29,23.8
19L04,1941-02-26,30.4
19L04,1941-04-01,36.6
19L04,1941-04-27,39.2
19L04,1942-01-29,29.2
19L04,1942-02-26,36.2
19L04,1942-03-27,39.3
19L04,1942-04-29,37.6
19L04,1943-02-01,28.8
19L04,1943-02-27,37.6
19L04,1943-03-28,45.1
19L04,1943-04-29,34.1
19L04,1944-02-07,17.1
19L04,1944-02-27,18.2
19L04,1944-03-30,27.9
19L04,1944-05-04,28
19L04,1945-01-25,17.6
19L04,1945-02-23,30.1
19L04,1945-03-30,38.1
19L04,1945-04-25,37.4
19L04,1946-01-21,27
19L04,1946-02-22,30.3
19L04,1946-03-22,34.5
19L04,1946-04-23,31.5
19L04,1947-01-31,20.4
19L04,1947-02-28,21.9
19L04,1947-03-27,26.9
19L04,1947-04-29,22.8
19L04,1948-01-25,7.4
19L04,1948-02-27,12.6
19L04,1948-04-07,31.4
19L04,1948-05-02,33.5
19L04,1949-01-26,13.9
19L04,1949-02-26,19.8
19L04,1949-03-26,31.8
19L04,1949-04-28,25.7
19L04,1950-01-26,24.8
19L04,1950-02-27,31.4
19L04,1950-03-29,39.8
19L04,1950-04-25,32
19L04,1951-02-01,17
19L04,1951-02-28,21.6
19L04,1951-03-30,20.4
19L04,1951-05-01,9.9
19L04,1952-01-30,45.8
19L04,1952-03-02,53
19L04,1952-03-26,67
19L04,1952-05-02,55.7
19L04,1953-01-29,23.9
19L04,1953-02-27,25.4
19L04,1953-03-30,30.1
19L04,1953-05-03,28.9
19L04,1953-06-02,26
19L04,1954-02-04,12.4
19L04,1954-02-26,21.6
19L04,1954-03-31,31.4
19L04,1954-05-02,22.1
19L04,1955-01-27,22.5
19L04,1955-03-04,28.1
19L04,1955-03-31,26.8
19L04,1955-05-01,31.4
19L04,1956-01-29,41.1
19L04,1956-03-02,48.6
19L04,1956-03-27,46
19L04,1956-05-01,43.4
19L04,1957-01-31,16
19L04,1957-03-01,23
19L04,1957-04-03,34.5
19L04,1957-04-28,29.4
19L04,1958-02-01,20.8
19L04,1958-03-02,34.5
19L04,1958-04-05,58.6
19L04,1958-04-25,53.8
19L04,1959-01-27,14.8
19L04,1959-02-27,33.4
19L04,1959-03-26,26.2
19L04,1959-04-28,15.2
19L04,1960-01-30,9.3
19L04,1960-02-28,22.7
19L04,1960-03-31,25.9
19L04,1960-05-03,18.6
19L04,1961-01-29,7.1
19L04,1961-02-27,14
19L04,1961-03-30,20.2
19L04,1961-04-28,16.6
19L04,1962-01-26,13.6
19L04,1962-02-26,33.7
19L04,1962-03-25,44.8
19L04,1962-04-26,32.9
19L04,1963-01-25,2.8
19L04,1963-02-26,12.9
19L04,1963-03-25,18.5
19L04,1963-04-25,34.5
19L04,1964-01-26,18.6
19L04,1964-03-04,19
19L04,1964-03-25,21.6
19L04,1964-04-26,18
19L04,1965-01-27,41.4
19L04,1965-02-25,46
19L04,1965-03-25,42.6
19L04,1965-04-26,46.1
19L04,1966-01-25,24.1
19L04,1966-02-25,27.8
19L04,1966-03-26,27.8
19L04,1966-04-26,19.1
19L04,1967-02-01,34.4
19L04,1967-02-28,35.3
19L04,1967-04-03,50
19L04,1967-05-01,62.8
19L04,1968-01-25,12.6
19L04,1968-02-25,24.9
19L04,1968-03-26,28.5
19L04,1968-04-26,18.2
19L04,1969-01-29,44.4
19L04,1969-03-05,67.3
19L04,1969-03-25,68.6
19L04,1969-04-25,63
19L04,1970-01-29,26.4
19L04,1970-03-03,32.1
19L04,1970-04-01,32.1
19L04,1970-04-30,26.3
19L04,1971-01-27,33.6
19L04,1971-02-26,32
19L04,1971-04-01,40.5
19L04,1971-04-29,39.5
19L04,1972-01-31,27.3
19L04,1972-03-01,30.9
19L04,1972-03-30,26.6
19L04,1972-04-25,34.5
19L04,1973-01-25,25.4
19L04,1973-02-26,34.1
19L04,1973-03-26,39.8
19L04,1973-04-25,38.6
19L04,1974-01-22,25.8
19L04,1974-02-20,26.5
19L04,1974-03-20,35
19L04,1974-04-29,39.4
19L04,1975-01-23,15.3
19L04,1975-02-24,29.3
19L04,1975-03-31,41.1
19L04,1975-04-22,49
19L04,1976-01-28,6.1
19L04,1976-02-24,10.5
19L04,1976-03-30,14.6
19L04,1976-04-27,7.2
19L04,1977-01-26,3.6
19L04,1977-02-28,6.3
19L04,1977-03-28,9.8
19L04,1977-04-26,0
19L04,1978-01-27,31
19L04,1978-02-21,40.1
19L04,1978-03-28,45.6
19L04,1978-04-24,47
19L04,1979-01-26,17.8
19L04,1979-02-27,30.8
19L04,1979-03-30,32.8
19L04,1979-04-27,30.1
19L04,1980-01-24,26.4
19L04,1980-02-29,41.4
19L04,1980-03-28,44.6
19L04,1980-04-28,40.3
19L04,1981-02-02,14.4
19L04,1981-02-26,20.1
19L04,1981-03-27,25.2
19L04,1981-04-27,15.4
19L04,1982-02-08,60.5
19L04,1982-02-22,37
19L04,1982-04-25,58.1
19L04,1983-01-03,25.8
19L04,1983-01-25,33.1
19L04,1983-02-22,45.9
